closed,sell,1379
closed,buy,1347
long,short,1339
buy,usdcad,1092
sell,usdcad,1025
sell,lots,568
sold,lots,550
buy,lots,541
bought,lots,533
bought,usdcad,522
usdcad,long,496
sold,usdcad,484
short,wcx,303
usdcad,short,251
usdcad,buy,205
usdcad,sell,190
daily,sell,106
daily,buy,105
cad,long,105
short,https,101
short,long,101
short,usdcad,100
usdcad,bearish,95
sell,stop,93
buy,stop,83
long,long,80
short,click,75
long,usdcad,73
bear,alert,72
long,https,72
resistance,level,70
buy,limit,70
bull,alert,69
support,level,67
sell,limit,64
cad,short,61
usdcad,bullish,55
prior,resistance,51
net,long,46
prior,support,44
cad,buy,42
buy,long,40
bear,target,39
approaching,support,39
sell,long,38
analysis,long,37
bearish,butterfly,37
sell,https,35
buy,https,33
setup,long,33
