closed,sell,5649
closed,buy,4280
sell,gbpusd,2939
sell,lots,2834
buy,lots,2416
buy,gbpusd,1951
sold,lots,1903
bought,lots,1469
sold,gbpusd,1304
bought,gbpusd,1069
long,short,1025
short,gbp,494
short,wcx,492
sell,stop,458
gbpusd,short,412
buy,stop,411
gbpusd,long,257
gbpusd,buy,255
ticket,buy,253
gbpusd,sell,232
gbpusd,support,199
gbpusd,resistance,196
ticket,sell,192
support,level,191
short,long,176
resistance,level,170
sold,iwr19gbpusd,155
prior,support,150
daily,sell,145
prior,resistance,138
long,https,136
long,gbpusd,136
short,https,136
buy,limit,130
daily,buy,126
bought,iwr19gbpusd,115
long,click,112
net,long,106
gbpusd,bearish,106
sell,limit,103
short,gbpusd,92
resistance,https,85
gbpusd,bullish,79
sell,iq,73
support,https,71
buy,https,69
sell,https,63
opened,sell,56
buy,broker,51
m1,buy,50
